City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Castro,BR,2022-05-14 04:31:40,-24.7911,-50.0119,51.1,99,8,4.59
239,The Pas,CA,2022-05-14 04:31:41,53.8251,-101.2541,37.42,93,100,12.66
240,Pierre,US,2022-05-14 04:31:42,44.3683,-100.351,58.12,60,20,13.8
241,Port Hardy,CA,2022-05-14 04:30:09,50.6996,-127.4199,44.78,87,100,10.36
242,Erzin,TR,2022-05-14 04:31:44,36.9559,36.2,73.04,48,70,1.43
243,Pachino,IT,2022-05-14 04:31:44,36.7186,15.0907,65.1,63,0,5.5
244,Plettenberg Bay,ZA,2022-05-14 04:31:46,-34.0527,23.3716,55.94,75,8,6.73
245,Owando,CG,2022-05-14 04:31:46,-0.4819,15.8999,70.99,97,37,0.98
246,Camana,PE,2022-05-14 04:31:48,-16.6228,-72.7111,64.22,81,63,6.49
247,Olafsvik,IS,2022-05-14 04:31:48,64.8945,-23.7142,34.09,73,97,12.64
248,Mar Del Plata,AR,2022-05-14 04:30:05,-38.0023,-57.5575,49.95,75,0,7.0
249,Altamira,BR,2022-05-14 04:31:49,-3.2033,-52.2064,72.28,99,45,2.24
250,Taltal,CL,2022-05-14 04:31:49,-25.4,-70.4833,59.74,77,3,3.58
251,Komsomolets,KZ,2022-05-14 04:31:50,53.7453,62.0708,57.56,56,57,16.31
252,Tsogni,GA,2022-05-14 04:31:50,-2.7942,10.0988,75.78,94,75,4.79
253,Abu Samrah,SY,2022-05-14 04:31:51,35.3029,37.1841,75.15,24,4,6.08
254,General Roca,AR,2022-05-14 04:31:51,-39.0333,-67.5833,47.62,42,80,4.5
255,Polson,US,2022-05-14 04:31:53,47.6936,-114.1632,39.22,59,20,5.59
256,Saint-Pierre,RE,2022-05-14 04:32:09,-21.3393,55.4781,72.91,40,0,8.05
257,Okato,NZ,2022-05-14 04:32:10,-39.2,173.8833,62.91,79,99,1.99
258,Noyabrsk,RU,2022-05-14 04:32:11,63.1994,75.4507,62.49,47,97,16.06
259,Liuzhou,CN,2022-05-14 04:32:11,24.3126,109.3892,76.55,72,98,5.66
260,Yumen,CN,2022-05-14 04:32:12,40.2833,97.2,60.21,18,24,11.59
261,Imbituba,BR,2022-05-14 04:32:12,-28.24,-48.6703,65.86,99,43,3.31
262,Wladyslawowo,PL,2022-05-14 04:32:15,54.7909,18.4009,55.0,82,71,20.65
263,Thinadhoo,MV,2022-05-14 04:32:15,0.5333,72.9333,83.71,67,100,13.98
264,Alice,US,2022-05-14 04:32:16,27.7523,-98.0697,75.54,83,0,9.22
265,Norman Wells,CA,2022-05-14 04:32:17,65.282,-126.8329,57.24,30,20,3.44
266,Billings,US,2022-05-14 04:30:04,45.7833,-108.5007,50.29,25,75,5.75
267,Colimes,EC,2022-05-14 04:32:17,-1.55,-80.0167,74.07,93,98,2.53
268,Monywa,MM,2022-05-14 04:32:18,22.1167,95.1333,95.5,41,77,10.94
269,Golden Gate,US,2022-05-14 04:32:18,26.1879,-81.6951,73.38,66,0,4.61
270,Arlit,NE,2022-05-14 04:32:19,18.7369,7.3853,85.55,12,20,17.36
271,Soyo,AO,2022-05-14 04:32:19,-6.1349,12.3689,76.12,91,65,4.56
272,Bandarbeyla,SO,2022-05-14 04:32:20,9.4942,50.8122,89.29,55,100,14.12
273,Bathsheba,BB,2022-05-14 04:32:21,13.2167,-59.5167,79.41,78,40,19.57
274,Tarakan,ID,2022-05-14 04:32:22,3.3,117.6333,81.9,83,75,3.44
275,Longyearbyen,SJ,2022-05-14 04:32:23,78.2186,15.6401,22.84,68,40,8.05
276,Sao Paulo De Olivenca,BR,2022-05-14 04:32:23,-3.3783,-68.8725,73.06,99,59,0.92
277,Kangaatsiaq,GL,2022-05-14 04:32:24,68.3065,-53.4641,17.83,89,100,2.73
278,Albury,AU,2022-05-14 04:32:05,-36.0833,146.9167,68.05,97,75,9.22
279,Gdov,RU,2022-05-14 04:32:24,58.7406,27.8122,43.09,86,42,6.89
280,Tazovskiy,RU,2022-05-14 04:32:25,67.4667,78.7,36.54,100,100,5.21
281,Tura,IN,2022-05-14 04:30:02,25.5198,90.2201,79.54,87,24,5.59
282,Peleduy,RU,2022-05-14 04:32:26,59.6289,112.7406,54.09,46,99,3.74
283,Villa Guerrero,MX,2022-05-14 04:32:28,18.8667,-99.65,76.28,51,68,4.72
284,Uberaba,BR,2022-05-14 04:32:28,-19.7483,-47.9319,70.38,60,0,3.44
285,Namtsy,RU,2022-05-14 04:32:29,62.7161,129.6658,43.09,53,84,14.47
286,Kiruna,SE,2022-05-14 04:32:29,67.8557,20.2251,34.72,75,100,4.61
287,Kalabo,ZM,2022-05-14 04:32:30,-14.97,22.6814,59.67,61,20,3.85
288,Makakilo City,US,2022-05-14 04:32:30,21.3469,-158.0858,80.92,58,0,13.8
289,Tabas,IR,2022-05-14 04:32:32,33.5959,56.9244,73.51,35,2,13.94
290,Seoul,KR,2022-05-14 04:29:03,37.5683,126.9778,67.39,34,0,16.11
291,Chake Chake,TZ,2022-05-14 04:32:32,-5.2459,39.7666,80.67,71,18,10.22
292,Hualmay,PE,2022-05-14 04:32:33,-11.0964,-77.6139,63.07,89,82,7.31
293,Turkistan,KZ,2022-05-14 04:29:26,43.0,68.0,72.77,44,78,5.75
